OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
86385,76481,ACTIVE,KIT 4,5862,139.4m 150mm  CI,TREATED,150,CI,NO,,NONE,1/1/1930,PURCHASED,,KITCHENER,N,,5,2,5,N,N,7.75,N,Y,139.3758647
86386,90622,ACTIVE,KIT 4,23092,18.7m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1987,DONATED,,KITCHENER,N,,4,4,23A,N,N,9.1,N,Y,18.7020159
86387,90624,ACTIVE,KIT 4,23082,43.1m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1987,DONATED,,KITCHENER,N,,5,4,23A,N,N,9.1,N,Y,43.09514759
86388,39140,ACTIVE,KIT 4,23082,58.2m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1987,DONATED,,KITCHENER,N,,4,4,23A,N,N,9.1,N,Y,58.18184774
86389,90626,ACTIVE,KIT 4,23080,14.1m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1987,DONATED,,KITCHENER,N,,4,4,23A,N,N,5.18,N,Y,14.14469558
86390,90628,ACTIVE,KIT 4,13183,12.8m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1966,DONATED,,KITCHENER,N,,5,4,23C,N,N,8.5,N,Y,12.80173074
86391,30230,ACTIVE,KIT 4,13183,176.4m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1966,DONATED,,KITCHENER,N,,5,4,23C,N,N,5.7,N,Y,176.3743845
86392,90630,ACTIVE,KIT 4,13183,27.3m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1966,DONATED,,KITCHENER,N,,5,4,23C,N,N,4.9,N,Y,27.3176875
86393,90632,ACTIVE,KIT 2EA,40231,7m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/1998,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,6.99211469
86394,61240,ACTIVE,KIT 2EA,40231,119.9m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/1998,DONATED,,KITCHENER,N,,6,5,28,N,N,9.35,N,N,119.9397704
86395,90634,ACTIVE,KIT 5,9473,13.6m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1974,DONATED,,KITCHENER,N,,6,6,22,N,N,8.5,N,Y,13.60342777
86396,10840,ACTIVE,KIT 5,9473,153.1m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1974,DONATED,,KITCHENER,N,,6,6,22,N,N,8.5,N,Y,153.1290559
86397,90636,ACTIVE,KIT 6,21049,3.8m 300mm  PVC,TREATED,300,PVC,NO,,NONE,6/1/1996,DONATED,,KITCHENER,N,,7,6,34,N,N,9.35,N,Y,3.842656518
86398,54470,ACTIVE,KIT 5,21100,159.3m 300mm  PVC,TREATED,300,PVC,NO,,NONE,6/1/1996,DONATED,,KITCHENER,N,,7,6,34,N,N,9.35,N,Y,159.2905634
86399,90638,ACTIVE,KIT 6,5488,1.2m 200mm  DI,TREATED,200,DI,NO,,NONE,3/1/1989,DONATED,PI,KITCHENER,N,,0,6,4,N,N,9.1,N,Y,1.231040312
86400,28460,ACTIVE,KIT 6,5488,13.4m 200mm  DI,TREATED,200,DI,NO,,NONE,3/1/1989,DONATED,PI,KITCHENER,N,,6,6,4,N,N,9.1,N,Y,13.43131486
86401,3180,ACTIVE,KIT 6,5538,148.9m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1975,DONATED,,KITCHENER,N,,6,6,10,N,N,8.5,N,Y,148.8522868
86402,90640,ACTIVE,KIT 6,5538,6.1m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1975,DONATED,,KITCHENER,N,,6,6,10,N,N,8.5,N,Y,6.096159889
86408,90650,ACTIVE,KIT 4,23217,13.5m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1967,DONATED,,KITCHENER,N,,7,4,24,N,N,4.58,N,Y,13.48944368
86409,28270,ACTIVE,KIT 4,23217,159.7m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1967,DONATED,,KITCHENER,N,,7,4,24,N,N,7.3,N,Y,159.6738113
86410,76739,ACTIVE,KIT 4,10661,5.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,8/5/2010,PURCHASED,,KITCHENER,N,,7,2,9,N,N,9.35,N,Y,5.665762053
86411,76478,ACTIVE,KIT 4,5736,164.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,5/11/2009,PURCHASED,,KITCHENER,N,,6,2,5,N,N,9.35,N,Y,164.2803306
86412,90652,ACTIVE,KIT 4,5736,.6m 150mm  PVC,TREATED,150,PVC,NO,,NONE,5/11/2009,PURCHASED,,KITCHENER,N,,5,2,5,N,N,9.35,N,Y,0.566363929
86414,90656,ACTIVE,KIT 4,15965,6.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1/1/1976,DONATED,,KITCHENER,N,,6,4,12,N,N,9.35,N,Y,6.780271473
86415,44130,ACTIVE,KIT 4,15965,151.6m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1/1/1976,DONATED,,KITCHENER,N,,6,4,12,N,N,9.35,N,Y,151.5979524
86416,90658,ACTIVE,KIT 4,15965,3.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1/1/1976,DONATED,,KITCHENER,N,,6,4,12,N,N,9.35,N,Y,3.834908233
86417,18950,ACTIVE,KIT 4,20712,96m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1988,DONATED,,KITCHENER,N,,6,1,8,N,N,9.1,N,N,96.00472371
86418,90660,ACTIVE,KIT 4,20712,7.7m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1988,DONATED,,KITCHENER,N,,6,1,8,N,N,9.1,N,N,7.66007436
86419,76211,ACTIVE,KIT 6,600874,64.6m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/2006,DONATED,,KITCHENER,N,,6,6,39,N,N,9.35,N,Y,64.56992114
86421,90664,ACTIVE,KIT 4,12649,24.5m 200mm  DI,TREATED,200,DI,NO,,NONE,9/1/1974,DONATED,,KITCHENER,N,,6,2,0,N,N,8.5,N,N,24.45817638
86422,32860,ACTIVE,KIT 4,604217,31.8m 200mm  DI,TREATED,200,DI,NO,,NONE,9/1/1974,DONATED,,KITCHENER,N,,6,2,0,N,N,4.9,N,N,31.84371455
86423,90666,ACTIVE,KIT 4,604217,1.6m 200mm  DI,TREATED,200,DI,NO,,NONE,9/1/1974,DONATED,,KITCHENER,N,,0,2,0,N,N,8.5,N,N,1.633870154
86424,90668,ACTIVE,KIT 4,604217,5.9m 200mm  DI,TREATED,200,DI,NO,,NONE,9/1/1974,DONATED,,KITCHENER,N,,6,2,0,N,N,8.5,N,N,5.867424121
86425,90670,ACTIVE,KIT 5,9529,9.5m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1976,DONATED,,KITCHENER,N,,6,6,18,N,N,8.5,N,Y,9.466182267
86426,10180,ACTIVE,KIT 5,9529,33.7m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1976,DONATED,,KITCHENER,N,,6,6,18,N,N,8.5,N,Y,33.72530571
86427,90672,ACTIVE,KIT 4,15143,1.1m 150mm  DI,TREATED,150,DI,NO,,NONE,9/1/1988,DONATED,,KITCHENER,N,,0,4,16,N,N,9.1,N,Y,1.10729147
86428,90674,ACTIVE,KIT 4,15139,11.4m 150mm  DI,TREATED,150,DI,NO,,NONE,9/1/1988,DONATED,,KITCHENER,N,,6,4,16,N,N,9.1,N,Y,11.40234242
86429,90676,ACTIVE,KIT 4,15139,53.5m 150mm  DI,TREATED,150,DI,NO,,NONE,9/1/1988,DONATED,,KITCHENER,N,,6,4,16,N,N,9.1,N,Y,53.453718
86430,90678,ACTIVE,KIT 4,15139,12.6m 150mm  DI,TREATED,150,DI,NO,,NONE,9/1/1988,DONATED,,KITCHENER,N,,6,4,16,N,N,9.1,N,Y,12.62042949
86431,33300,ACTIVE,KIT 4,15139,223m 150mm  DI,TREATED,150,DI,NO,,NONE,9/1/1988,DONATED,,KITCHENER,N,,6,4,16,N,N,9.1,N,Y,222.9950863
86432,90680,ACTIVE,KIT 2W,21898,12.6m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1974,DONATED,,KITCHENER,N,,6,5,31,N,N,8.5,N,N,12.62590141
86433,14070,ACTIVE,KIT 2W,21898,91m 300mm  DI,TREATED,300,DI,NO,,NONE,1/1/1974,DONATED,,KITCHENER,N,,6,5,31,N,N,8.5,N,N,90.96391509
86439,64890,ACTIVE,KIT 4,6924,6.7m 300mm  PVC,TREATED,300,PVC,NO,,NONE,6/15/2002,PURCHASED,,KITCHENER,N,,6,2,27,N,N,9.35,N,Y,6.673552051
86441,90690,ACTIVE,KIT 4,13149,1.1m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/1999,PURCHASED,,KITCHENER,N,,0,4,20,N,N,9.35,N,Y,1.120283678
86442,62230,ACTIVE,KIT 4,13149,17.2m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/1999,PURCHASED,,KITCHENER,N,,7,4,20,N,N,9.35,N,Y,17.19406508
86443,90692,ACTIVE,KIT 4,13149,3m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/1999,PURCHASED,,KITCHENER,N,,6,4,18,N,N,9.35,N,Y,3.036866805
86444,90694,ACTIVE,KIT 4,9981,9m 150mm  CI,TREATED,150,CI,NO,,NONE,1/1/1956,DONATED,,KITCHENER,N,,6,5,8,N,N,3.83,N,N,8.996755193
86445,11630,ACTIVE,KIT 4,9981,121.2m 150mm  CI,TREATED,150,CI,NO,,NONE,1/1/1956,DONATED,,KITCHENER,N,,6,5,8,N,Y,4.5,N,N,121.184127
86446,90696,ACTIVE,KIT 5,20624,9.6m 150mm  DI,TREATED,150,DI,NO,,NONE,6/1/1987,DONATED,,KITCHENER,N,,5,6,44,N,N,9.1,N,Y,9.612108412
86447,90698,ACTIVE,KIT 5,20624,10.1m 150mm  DI,TREATED,150,DI,NO,,NONE,6/1/1987,DONATED,,KITCHENER,N,,5,6,44,N,N,9.1,N,Y,10.14775475
